value
1049.0
867.1
832.2
595.2
584.6
549.3
511.3
510.8
495.0
493.8
455.3
454.1
441.2
437.4
431.8
422.6
418.9
410.8
406.9
404.9
399.0
381.0
378.4
371.8
370.8
358.6
340.7
327.6
316.6
306.4
300.9
293.9
293.2
293.2
285.5
284.6
284.4
277.9
266.6
236.4
235.6
223.8
221.1
217.4
217.1
208.0
206.9
202.9
202.2
183.6
152.5
115.2
