value
1326.8
635.3
588.0
612.0
503.5
555.3
602.2
383.7
457.7
663.0
413.6
546.3
439.6
493.0
481.4
623.3
448.4
370.8
444.9
275.8
368.9
323.7
541.3
362.7
323.3
394.4
402.3
468.9
301.2
366.5
278.3
313.5
248.9
314.7
264.3
229.5
251.4
269.3
268.5
235.7
213.5
220.5
257.4
197.9
243.9
214.2
307.5
275.3
131.0
282.0
167.4
122.1
