value
 District of Columbia
 Alaska
 New Mexico
 Tennessee
 Arkansas
 Louisiana
 South Carolina
 Alabama
 Missouri
 Nevada
 Arizona
 Maryland
 California
 Michigan
 Oklahoma
 Delaware
 Texas
 Kansas
 Illinois
 Montana
 South Dakota
 Colorado
 Florida
 North Carolina
 Indiana
 New York
 Georgia
 Massachusetts
 West Virginia
 Pennsylvania
 Nebraska
 Washington
 Wisconsin
 Ohio
 Hawaii
 North Dakota
 Oregon
 Mississippi
 Iowa
 Minnesota
 Utah
 Idaho
 Rhode Island
 Wyoming
 Kentucky
 Virginia
 New Jersey
 Puerto Rico
 Vermont
 Connecticut
 New Hampshire
 Maine
